Time (ms),Memory Allocated (KB),Memory Freed (KB),Peak Memory (KB),Stack Usage (KB)
0,0.0,0,0.0,0.0
2301592,71.0,0,71.0078125,0.0
2417397,72.0,0,72.015625,0.0
2419343,3978.25,0,3978.2734375,0.0
75290423,4368.875,0,4368.90625,0.0
75290979,4368.8828125,0,4368.9296875,0.0
75291485,4759.5078125,0,4759.5625,0.0
75292040,4759.5234375,0,4759.5859375,0.0
75292560,4759.5234375,0,4759.5859375,0.0
75292560,4759.515625,0,4759.5625,0.0
75292631,5150.140625,0,5150.1953125,0.0
75293186,5150.171875,0,5150.234375,0.0
75293704,5150.171875,0,5150.234375,0.0
75293704,5150.15625,0,5150.2109375,0.0
75293775,5540.78125,0,5540.84375,0.0
75293948,5931.40625,0,5931.4765625,0.0
75294503,5931.46875,0,5931.546875,0.0
75295022,5931.46875,0,5931.546875,0.0
75295022,5931.4375,0,5931.5078125,0.0
75295093,6322.0625,0,6322.140625,0.0
75295266,6712.6875,0,6712.7734375,0.0
75295439,7103.3125,0,7103.40625,0.0
75295612,7493.9375,0,7494.0390625,0.0
75296167,7494.0625,0,7494.171875,0.0
75296686,7494.0625,0,7494.171875,0.0
75296686,7494.0,0,7494.1015625,0.0
75296757,7884.625,0,7884.734375,0.0
75296954,7884.625,0,7884.734375,0.0
75296954,7494.0,0,7494.1015625,0.0
75297009,7103.375,0,7103.46875,0.0
75297064,6712.75,0,6712.8359375,0.0
75297119,6322.125,0,6322.203125,0.0
75297174,5931.5,0,5931.5703125,0.0
75297211,2025.25,0,2025.3125,0.0
75297803,2025.125,0,2025.1796875,0.0
75307078,1954.125,0,1954.171875,0.0
75308767,1953.125,0,1953.1640625,0.0
