Time (ms),Memory Allocated (KB),Memory Freed (KB),Peak Memory (KB),Stack Usage (KB),Memory_Delta,Memory_Utilization_Ratio
0,0.0,0.0,0.0,0.0,0.0,0.0
2301592,56.800000000000004,0.0,63.90703125,0.0,71.0,0.9860041228165347
2417397,57.6,0.0,64.8140625,0.0,72.0,0.9860903060132677
2419343,3182.6000000000004,0.0,3580.4460937500003,0.0,3978.25,0.999742807948216
75290423,3495.1000000000004,0.0,3932.015625,0.0,4368.875,0.9997640109556126
75290979,3495.1062500000003,0.0,3932.03671875,0.0,4368.8828125,0.999760436648902
75291485,3807.6062500000003,0.0,4283.60625,0.0,4759.5078125,0.9997784531764892
75292040,3807.61875,0.0,4283.62734375,0.0,4759.5234375,0.9997768131877148
75292560,3807.61875,0.0,4283.62734375,0.0,4759.5234375,0.9997768131877148
75292560,3807.6125,0.0,4283.60625,0.0,4759.515625,0.9997800942640707
75292631,4120.1125,0.0,4635.17578125,0.0,5150.140625,0.9997952538321657
75293186,4120.1375,0.0,4635.2109375,0.0,5150.171875,0.999793738758004
75293704,4120.1375,0.0,4635.2109375,0.0,5150.171875,0.999793738758004
75293704,4120.125,0.0,4635.18984375,0.0,5150.15625,0.9997952544532156
75293775,4432.625,0.0,4986.759375000001,0.0,5540.78125,0.9998082768031848
75293948,4745.125,0.0,5338.32890625,0.0,5931.40625,0.9998195842008436
75294503,4745.175,0.0,5338.392187500001,0.0,5931.46875,0.9998182694510948
75295022,4745.175,0.0,5338.392187500001,0.0,5931.46875,0.9998182694510948
75295022,4745.150000000001,0.0,5338.357031250001,0.0,5931.4375,0.9998195851511995
75295093,5057.650000000001,0.0,5689.9265625,0.0,6322.0625,0.9998294953308903
75295266,5370.150000000001,0.0,6041.49609375,0.0,6712.6875,0.9998382522868683
75295439,5682.650000000001,0.0,6393.065625,0.0,7103.3125,0.9998460462477072
75295612,5995.150000000001,0.0,6744.63515625,0.0,7493.9375,0.999853027784003
75296167,5995.25,0.0,6744.7546875,0.0,7494.0625,0.9998519880506409
75296686,5995.25,0.0,6744.7546875,0.0,7494.0625,0.9998519880506409
75296686,5995.200000000001,0.0,6744.69140625,0.0,7494.0,0.9998530290095718
75296757,6307.700000000001,0.0,7096.2609375,0.0,7884.625,0.9998593187460743
75296954,6307.700000000001,0.0,7096.2609375,0.0,7884.625,0.9998593187460743
75296954,5995.200000000001,0.0,6744.69140625,0.0,7494.0,0.9998530290095718
75297009,5682.700000000001,0.0,6393.121875,0.0,7103.375,0.9998460476020814
75297064,5370.200000000001,0.0,6041.552343750001,0.0,6712.75,0.9998382537925995
75297119,5057.700000000001,0.0,5689.9828125,0.0,6322.125,0.9998294970161978
75297174,4745.2,0.0,5338.41328125,0.0,5931.5,0.9998195870518812
75297211,1620.2,0.0,1822.78125,0.0,2025.25,0.9994756484994294
75297803,1620.1000000000001,0.0,1822.66171875,0.0,2025.125,0.999479469907577
75307078,1563.3000000000002,0.0,1758.7546875,0.0,1954.125,0.9994645611399253
75308767,1562.5,0.0,1757.84765625,0.0,1953.125,0.9994682828735113
