Time (ms),Memory Allocated (KB),Memory Freed (KB),Peak Memory (KB),Stack Usage (KB)
0,0.0,0,0.0,0.0
2285256,71.0,0,71.0078125,0.0
2400729,72.0,0,72.015625,0.0
2402784,75.90625,0,75.9296875,0.0
2402859,79.8125,0,79.84375,0.0
2403242,79.8125,0,79.84375,0.0
2403664,79.8125,0,79.84375,0.0
2404086,79.8125,0,79.84375,0.0
2404508,79.8125,0,79.84375,0.0
2404930,79.8125,0,79.84375,0.0
2405352,79.8125,0,79.84375,0.0
2405774,79.8125,0,79.84375,0.0
2405985,79.8125,0,79.84375,0.0
2406304,73.953125,0,73.9765625,0.0
2406657,75.90625,0,75.9296875,0.0
2407079,75.90625,0,75.9296875,0.0
2407501,75.90625,0,75.9296875,0.0
2407923,75.90625,0,75.9296875,0.0
2408345,75.90625,0,75.9296875,0.0
2408767,75.90625,0,75.9296875,0.0
2409189,75.90625,0,75.9296875,0.0
2409400,75.90625,0,75.9296875,0.0
2409713,72.0,0,72.015625,0.0
2410135,72.0,0,72.015625,0.0
2410557,72.0,0,72.015625,0.0
2410979,72.0,0,72.015625,0.0
2411401,72.0,0,72.015625,0.0
2411823,72.0,0,72.015625,0.0
2412245,72.0,0,72.015625,0.0
2412667,72.0,0,72.015625,0.0
2413089,72.0,0,72.015625,0.0
2413511,72.0,0,72.015625,0.0
2413933,72.0,0,72.015625,0.0
2414355,72.0,0,72.015625,0.0
2414566,72.0,0,72.015625,0.0
2414886,75.90625,0,75.9296875,0.0
2415308,75.90625,0,75.9296875,0.0
2415730,75.90625,0,75.9296875,0.0
2416152,75.90625,0,75.9296875,0.0
2416574,75.90625,0,75.9296875,0.0
2416996,75.90625,0,75.9296875,0.0
2417418,75.90625,0,75.9296875,0.0
2417840,75.90625,0,75.9296875,0.0
2418262,75.90625,0,75.9296875,0.0
2418684,75.90625,0,75.9296875,0.0
2419106,75.90625,0,75.9296875,0.0
2419528,75.90625,0,75.9296875,0.0
2419739,75.90625,0,75.9296875,0.0
2419950,75.90625,0,75.9296875,0.0
2420161,75.90625,0,75.9296875,0.0
2420263,72.0,0,72.015625,0.0
2420372,75.90625,0,75.9296875,0.0
2420474,72.0,0,72.015625,0.0
2420583,75.90625,0,75.9296875,0.0
2420685,72.0,0,72.015625,0.0
2420794,75.90625,0,75.9296875,0.0
2420896,72.0,0,72.015625,0.0
2421005,75.90625,0,75.9296875,0.0
2421107,72.0,0,72.015625,0.0
2421216,75.90625,0,75.9296875,0.0
2421318,72.0,0,72.015625,0.0
2421427,75.90625,0,75.9296875,0.0
2421529,72.0,0,72.015625,0.0
2421638,75.90625,0,75.9296875,0.0
2421740,72.0,0,72.015625,0.0
2421849,75.90625,0,75.9296875,0.0
2421951,72.0,0,72.015625,0.0
2422060,75.90625,0,75.9296875,0.0
2422162,72.0,0,72.015625,0.0
2422271,75.90625,0,75.9296875,0.0
2422373,72.0,0,72.015625,0.0
2422482,75.90625,0,75.9296875,0.0
2422584,72.0,0,72.015625,0.0
2422693,75.90625,0,75.9296875,0.0
2422795,72.0,0,72.015625,0.0
2422904,75.90625,0,75.9296875,0.0
2423006,72.0,0,72.015625,0.0
2423115,75.90625,0,75.9296875,0.0
2423217,72.0,0,72.015625,0.0
2423326,75.90625,0,75.9296875,0.0
2423428,72.0,0,72.015625,0.0
2423537,75.90625,0,75.9296875,0.0
2423639,72.0,0,72.015625,0.0
2423748,75.90625,0,75.9296875,0.0
2423850,72.0,0,72.015625,0.0
2433512,1.0,0,1.0078125,0.0
2435159,0.0,0,0.0,0.0
