Time (ms),Memory Allocated (KB),Memory Freed (KB),Peak Memory (KB),Stack Usage (KB),Memory_Delta,Memory_Utilization_Ratio
0,0.0,0.0,0.0,0.0,0.0,0.0
2285256,56.800000000000004,0.0,63.90703125,0.0,71.0,0.9860041228165347
2400729,57.6,0.0,64.8140625,0.0,72.0,0.9860903060132677
2402784,60.725,0.0,68.33671875,0.0,75.90625,0.986696455773332
2402859,63.85,0.0,71.859375,0.0,79.8125,0.9872439118670274
2403242,63.85,0.0,71.859375,0.0,79.8125,0.9872439118670274
2403664,63.85,0.0,71.859375,0.0,79.8125,0.9872439118670274
2404086,63.85,0.0,71.859375,0.0,79.8125,0.9872439118670274
2404508,63.85,0.0,71.859375,0.0,79.8125,0.9872439118670274
2404930,63.85,0.0,71.859375,0.0,79.8125,0.9872439118670274
2405352,63.85,0.0,71.859375,0.0,79.8125,0.9872439118670274
2405774,63.85,0.0,71.859375,0.0,79.8125,0.9872439118670274
2405985,63.85,0.0,71.859375,0.0,79.8125,0.9872439118670274
2406304,59.1625,0.0,66.57890625,0.0,73.953125,0.9863499010107325
2406657,60.725,0.0,68.33671875,0.0,75.90625,0.986696455773332
2407079,60.725,0.0,68.33671875,0.0,75.90625,0.986696455773332
2407501,60.725,0.0,68.33671875,0.0,75.90625,0.986696455773332
2407923,60.725,0.0,68.33671875,0.0,75.90625,0.986696455773332
2408345,60.725,0.0,68.33671875,0.0,75.90625,0.986696455773332
2408767,60.725,0.0,68.33671875,0.0,75.90625,0.986696455773332
2409189,60.725,0.0,68.33671875,0.0,75.90625,0.986696455773332
2409400,60.725,0.0,68.33671875,0.0,75.90625,0.986696455773332
2409713,57.6,0.0,64.8140625,0.0,72.0,0.9860903060132677
2410135,57.6,0.0,64.8140625,0.0,72.0,0.9860903060132677
2410557,57.6,0.0,64.8140625,0.0,72.0,0.9860903060132677
2410979,57.6,0.0,64.8140625,0.0,72.0,0.9860903060132677
2411401,57.6,0.0,64.8140625,0.0,72.0,0.9860903060132677
2411823,57.6,0.0,64.8140625,0.0,72.0,0.9860903060132677
2412245,57.6,0.0,64.8140625,0.0,72.0,0.9860903060132677
2412667,57.6,0.0,64.8140625,0.0,72.0,0.9860903060132677
2413089,57.6,0.0,64.8140625,0.0,72.0,0.9860903060132677
2413511,57.6,0.0,64.8140625,0.0,72.0,0.9860903060132677
2413933,57.6,0.0,64.8140625,0.0,72.0,0.9860903060132677
2414355,57.6,0.0,64.8140625,0.0,72.0,0.9860903060132677
2414566,57.6,0.0,64.8140625,0.0,72.0,0.9860903060132677
2414886,60.725,0.0,68.33671875,0.0,75.90625,0.986696455773332
2415308,60.725,0.0,68.33671875,0.0,75.90625,0.986696455773332
2415730,60.725,0.0,68.33671875,0.0,75.90625,0.986696455773332
2416152,60.725,0.0,68.33671875,0.0,75.90625,0.986696455773332
2416574,60.725,0.0,68.33671875,0.0,75.90625,0.986696455773332
2416996,60.725,0.0,68.33671875,0.0,75.90625,0.986696455773332
2417418,60.725,0.0,68.33671875,0.0,75.90625,0.986696455773332
2417840,60.725,0.0,68.33671875,0.0,75.90625,0.986696455773332
2418262,60.725,0.0,68.33671875,0.0,75.90625,0.986696455773332
2418684,60.725,0.0,68.33671875,0.0,75.90625,0.986696455773332
2419106,60.725,0.0,68.33671875,0.0,75.90625,0.986696455773332
2419528,60.725,0.0,68.33671875,0.0,75.90625,0.986696455773332
2419739,60.725,0.0,68.33671875,0.0,75.90625,0.986696455773332
2419950,60.725,0.0,68.33671875,0.0,75.90625,0.986696455773332
2420161,60.725,0.0,68.33671875,0.0,75.90625,0.986696455773332
2420263,57.6,0.0,64.8140625,0.0,72.0,0.9860903060132677
2420372,60.725,0.0,68.33671875,0.0,75.90625,0.986696455773332
2420474,57.6,0.0,64.8140625,0.0,72.0,0.9860903060132677
2420583,60.725,0.0,68.33671875,0.0,75.90625,0.986696455773332
2420685,57.6,0.0,64.8140625,0.0,72.0,0.9860903060132677
2420794,60.725,0.0,68.33671875,0.0,75.90625,0.986696455773332
2420896,57.6,0.0,64.8140625,0.0,72.0,0.9860903060132677
2421005,60.725,0.0,68.33671875,0.0,75.90625,0.986696455773332
2421107,57.6,0.0,64.8140625,0.0,72.0,0.9860903060132677
2421216,60.725,0.0,68.33671875,0.0,75.90625,0.986696455773332
2421318,57.6,0.0,64.8140625,0.0,72.0,0.9860903060132677
2421427,60.725,0.0,68.33671875,0.0,75.90625,0.986696455773332
2421529,57.6,0.0,64.8140625,0.0,72.0,0.9860903060132677
2421638,60.725,0.0,68.33671875,0.0,75.90625,0.986696455773332
2421740,57.6,0.0,64.8140625,0.0,72.0,0.9860903060132677
2421849,60.725,0.0,68.33671875,0.0,75.90625,0.986696455773332
2421951,57.6,0.0,64.8140625,0.0,72.0,0.9860903060132677
2422060,60.725,0.0,68.33671875,0.0,75.90625,0.986696455773332
2422162,57.6,0.0,64.8140625,0.0,72.0,0.9860903060132677
2422271,60.725,0.0,68.33671875,0.0,75.90625,0.986696455773332
2422373,57.6,0.0,64.8140625,0.0,72.0,0.9860903060132677
2422482,60.725,0.0,68.33671875,0.0,75.90625,0.986696455773332
2422584,57.6,0.0,64.8140625,0.0,72.0,0.9860903060132677
2422693,60.725,0.0,68.33671875,0.0,75.90625,0.986696455773332
2422795,57.6,0.0,64.8140625,0.0,72.0,0.9860903060132677
2422904,60.725,0.0,68.33671875,0.0,75.90625,0.986696455773332
2423006,57.6,0.0,64.8140625,0.0,72.0,0.9860903060132677
2423115,60.725,0.0,68.33671875,0.0,75.90625,0.986696455773332
2423217,57.6,0.0,64.8140625,0.0,72.0,0.9860903060132677
2423326,60.725,0.0,68.33671875,0.0,75.90625,0.986696455773332
2423428,57.6,0.0,64.8140625,0.0,72.0,0.9860903060132677
2423537,60.725,0.0,68.33671875,0.0,75.90625,0.986696455773332
2423639,57.6,0.0,64.8140625,0.0,72.0,0.9860903060132677
2423748,60.725,0.0,68.33671875,0.0,75.90625,0.986696455773332
2423850,57.6,0.0,64.8140625,0.0,72.0,0.9860903060132677
2433512,0.8,0.0,0.9070312500000001,0.0,1.0,0.4980544747081712
2435159,0.0,0.0,0.0,0.0,0.0,0.0
