Time (ms),Memory Allocated (KB),Memory Freed (KB),Peak Memory (KB),Stack Usage (KB),Memory_Delta,Memory_Utilization_Ratio
0,0.0,0.0,0.0,0.0,0.0,0.0
2299942,56.800000000000004,0.0,63.90703125,0.0,71.0,0.9860041228165347
2415747,57.6,0.0,64.8140625,0.0,72.0,0.9860903060132677
2417989,57.603125000000006,0.0,64.83515625,0.0,72.00390625,0.9858273612151032
2418979,57.609375,0.0,64.85625,0.0,72.01171875,0.9856180496150556
2419501,57.609375,0.0,64.85625,0.0,72.01171875,0.9856180496150556
2419501,57.60625,0.0,64.83515625,0.0,72.0078125,0.9858808428708953
2420056,57.618750000000006,0.0,64.85625,0.0,72.0234375,0.9857784431137725
2420576,57.612500000000004,0.0,64.83515625,0.0,72.015625,0.9859878061824794
2421234,57.6375,0.0,64.8703125,0.0,72.046875,0.9858883899935856
2421752,57.625,0.0,64.84921875,0.0,72.03125,0.9859908031226606
2422616,57.675000000000004,0.0,64.91250000000001,0.0,72.09375,0.985897435897436
2423135,57.650000000000006,0.0,64.87734375000001,0.0,72.0625,0.9859967931587387
2424411,57.75,0.0,64.996875,0.0,72.1875,0.9859154929577465
2424930,57.7,0.0,64.93359375,0.0,72.125,0.9860087578767489
2427030,57.900000000000006,0.0,65.165625,0.0,72.375,0.9859514687100894
2427567,57.800000000000004,0.0,65.04609375,0.0,72.25,0.9860326260795393
2431315,58.2,0.0,65.503125,0.0,72.75,0.9860228716645489
2431852,58.0,0.0,65.27109375,0.0,72.5,0.9860801190096695
2438896,58.800000000000004,0.0,66.17812500000001,0.0,73.5,0.9861635220125786
2439476,58.800000000000004,0.0,66.17812500000001,0.0,73.5,0.9861635220125786
2439476,58.400000000000006,0.0,65.72109375000001,0.0,73.0,0.9861741424802111
2453112,60.0,0.0,67.528125,0.0,75.0,0.9864364981504316
2453744,60.0,0.0,67.528125,0.0,75.0,0.9864364981504316
2453744,59.2,0.0,66.62109375,0.0,74.0,0.9863584296573987
2480564,62.400000000000006,0.0,70.228125,0.0,78.0,0.9869513641755635
2481300,62.400000000000006,0.0,70.228125,0.0,78.0,0.9869513641755635
2481300,60.800000000000004,0.0,68.42109375,0.0,76.0,0.9867126483416168
2534488,67.2,0.0,75.628125,0.0,84.0,0.9878721058434399
2535432,67.2,0.0,75.628125,0.0,84.0,0.9878721058434399
2535432,64.0,0.0,72.02109375,0.0,80.0,0.9873686240478257
2641356,76.80000000000001,0.0,86.42812500000001,0.0,96.0,0.9893719806763285
2650074,76.80000000000001,0.0,86.42812500000001,0.0,96.0,0.9893719806763285
2650074,70.4,0.0,79.22109375000001,0.0,88.0,0.9885037297060114
2861470,96.0,0.0,108.028125,0.0,120.0,0.9914794732765299
2878380,96.0,0.0,108.028125,0.0,120.0,0.9914794732765299
2878380,83.2,0.0,93.62109375,0.0,104.0,0.9902551513799003
3300720,134.4,0.0,151.228125,0.0,168.0,0.9938990571270105
3334014,134.4,0.0,151.228125,0.0,168.0,0.9938990571270105
3334014,108.80000000000001,0.0,122.42109375,0.0,136.0,0.9925309310679058
4178242,211.20000000000002,0.0,237.628125,0.0,264.0,0.9961089494163424
4244304,211.20000000000002,0.0,237.628125,0.0,264.0,0.9961089494163424
4244304,160.0,0.0,180.02109375,0.0,200.0,0.9949088647934399
5932308,364.8,0.0,410.428125,0.0,456.0,0.9977435897435898
6063906,364.8,0.0,410.428125,0.0,456.0,0.9977435897435898
6063906,262.40000000000003,0.0,295.22109375,0.0,328.0,0.996889469310222
9439462,672.0,0.0,756.028125,0.0,840.0,0.9987738267751645
9702132,672.0,0.0,756.028125,0.0,840.0,0.9987738267751645
9702132,467.20000000000005,0.0,525.62109375,0.0,584.0,0.9982506042760039
16452792,1286.4,0.0,1447.228125,0.0,1608.0,0.9993590864068054
16977606,1286.4,0.0,1447.228125,0.0,1608.0,0.9993590864068054
16977606,876.8000000000001,0.0,986.4210937500001,0.0,1096.0,0.9990670778171046
30478474,2515.2000000000003,0.0,2829.628125,0.0,3144.0,0.999672101827287
30618266,2515.2000000000003,0.0,2829.628125,0.0,3144.0,0.999672101827287
30618266,1696.0,0.0,1908.02109375,0.0,2120.0,0.9995174794007905
57619550,4972.8,0.0,5597.971875,0.0,6216.0,0.9992012899920129
57898606,4972.8,0.0,5597.971875,0.0,6216.0,0.9992012899920129
57898606,3334.4,0.0,3754.76484375,0.0,4168.0,0.9988111708749969
106903466,57.6,0.0,64.8140625,0.0,72.0,0.9860903060132677
106912741,0.8,0.0,0.9070312500000001,0.0,1.0,0.4980544747081712
106914430,0.0,0.0,0.0,0.0,0.0,0.0
