Time (ms),Memory Allocated (KB),Memory Freed (KB),Peak Memory (KB),Stack Usage (KB)
0,0.0,0,0.0,0.0
2299942,71.0,0,71.0078125,0.0
2415747,72.0,0,72.015625,0.0
2417989,72.00390625,0,72.0390625,0.0
2418979,72.01171875,0,72.0625,0.0
2419501,72.01171875,0,72.0625,0.0
2419501,72.0078125,0,72.0390625,0.0
2420056,72.0234375,0,72.0625,0.0
2420576,72.015625,0,72.0390625,0.0
2421234,72.046875,0,72.078125,0.0
2421752,72.03125,0,72.0546875,0.0
2422616,72.09375,0,72.125,0.0
2423135,72.0625,0,72.0859375,0.0
2424411,72.1875,0,72.21875,0.0
2424930,72.125,0,72.1484375,0.0
2427030,72.375,0,72.40625,0.0
2427567,72.25,0,72.2734375,0.0
2431315,72.75,0,72.78125,0.0
2431852,72.5,0,72.5234375,0.0
2438896,73.5,0,73.53125,0.0
2439476,73.5,0,73.53125,0.0
2439476,73.0,0,73.0234375,0.0
2453112,75.0,0,75.03125,0.0
2453744,75.0,0,75.03125,0.0
2453744,74.0,0,74.0234375,0.0
2480564,78.0,0,78.03125,0.0
2481300,78.0,0,78.03125,0.0
2481300,76.0,0,76.0234375,0.0
2534488,84.0,0,84.03125,0.0
2535432,84.0,0,84.03125,0.0
2535432,80.0,0,80.0234375,0.0
2641356,96.0,0,96.03125,0.0
2650074,96.0,0,96.03125,0.0
2650074,88.0,0,88.0234375,0.0
2861470,120.0,0,120.03125,0.0
2878380,120.0,0,120.03125,0.0
2878380,104.0,0,104.0234375,0.0
3300720,168.0,0,168.03125,0.0
3334014,168.0,0,168.03125,0.0
3334014,136.0,0,136.0234375,0.0
4178242,264.0,0,264.03125,0.0
4244304,264.0,0,264.03125,0.0
4244304,200.0,0,200.0234375,0.0
5932308,456.0,0,456.03125,0.0
6063906,456.0,0,456.03125,0.0
6063906,328.0,0,328.0234375,0.0
9439462,840.0,0,840.03125,0.0
9702132,840.0,0,840.03125,0.0
9702132,584.0,0,584.0234375,0.0
16452792,1608.0,0,1608.03125,0.0
16977606,1608.0,0,1608.03125,0.0
16977606,1096.0,0,1096.0234375,0.0
30478474,3144.0,0,3144.03125,0.0
30618266,3144.0,0,3144.03125,0.0
30618266,2120.0,0,2120.0234375,0.0
57619550,6216.0,0,6219.96875,0.0
57898606,6216.0,0,6219.96875,0.0
57898606,4168.0,0,4171.9609375,0.0
106903466,72.0,0,72.015625,0.0
106912741,1.0,0,1.0078125,0.0
106914430,0.0,0,0.0,0.0
