Time (ms),Memory Allocated (KB),Memory Freed (KB),Peak Memory (KB),Stack Usage (KB),Memory_Delta,Memory_Utilization_Ratio
0,0.0,0.0,0.0,0.0,0.0,0.0
2296770,56.800000000000004,0.0,63.90703125,0.0,71.0,0.9860041228165347
2408897,3181.8,0.0,3579.5390625,0.0,3977.25,0.9997447065893194
97534087,3182.6000000000004,0.0,3580.4460937500003,0.0,3978.25,0.999742807948216
97536261,3182.6000000000004,0.0,3580.4460937500003,0.0,3978.25,0.999742807948216
97536261,57.6,0.0,64.8140625,0.0,72.0,0.9860903060132677
97545536,0.8,0.0,0.9070312500000001,0.0,1.0,0.4980544747081712
97547225,0.0,0.0,0.0,0.0,0.0,0.0
